PROM_NUMBER,WORO_SERO_ID,PRIORITY,VENDOR,EQUP_INDEX,DEGRADED_KPI,KPI_VALUE,THRESHOLD,EQUP_EQUT_ABBREVIATION,INITIAL_ALARM,TT_CREATED,WORO_WORG_NAME,DURATION_HOUR,WORO_STAS_ABBREVIATION,ROOTCAUSE,CITY,REGION,PROVINCE,ALARM_COUNT,REPORTED,PROS_DESCRIPTION,MTTA_5_8,MTTR_5_8,DW_H
13076633,NF_08052022000075443,EMERGENCY,HUAWEI,HFEFA,Location_update_system_failure(Hss_hu),70,"IsGreaterThan 0    ",HLR,08-May-2022 07:00:00,"May 8, 2022 8:49 AM",BO_CORE,2831.86,INPROGRESS,,,NONE_R,NONE_P,10,"Aug 10, 2022 1:29 AM",Acknowledge,1.03,,Daily_Weekly
13076634,NF_08052022000075445,EMERGENCY,HUAWEI,HFMDA,Location_update_system_failure(Hss_hu),84,"IsGreaterThan 0    ",HLR,08-May-2022 07:00:00,"May 8, 2022 8:49 AM",BO_CORE,2831.86,INPROGRESS,,,NONE_R,NONE_P,10,"Aug 10, 2022 1:29 AM",Acknowledge,1.03,,Daily_Weekly
13079699,NF_08052022000081820,EMERGENCY,NOKIA,B5842N,SDCCH_Congestion_Rate(Nokia_BSC),12.078,"IsGreaterThanOrEqual 10    ","BSC ",08-May-2022 11:00:00,"May 8, 2022 2:27 PM",NAK_BO_RANN,2826.22,ASSIGNED,,,WEST_R,ILAAM_P,6,"Aug 7, 2022 7:23 PM",INITIAL DIAGNOSIS,,,Daily_Weekly
13092744,NF_10052022000008546,EMERGENCY,NOKIA,B5626N,SDCCH_Congestion_Rate(Nokia_BSC),10.694,"IsGreaterThanOrEqual 10    ","BSC ",10-May-2022 10:00:00,"May 10, 2022 12:27 PM",NAK_BO_RANN,2780.22,ASSIGNED,,,SOUTH_R,KHUZESTAN_P,16,"Aug 21, 2022 2:46 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13097184,NF_11052022000017392,MAJOR,HUAWEI,B5763H | HZ1G1890B,SDCCH_Access_Success_Rate_New(Hu_Cell),30.508,"IsLessThanOrEqual 50    ",BTS,08-May-2022 00:00:00,"May 11, 2022 10:56 AM",CTO_FARAFAN_OPT,2352.92,CLOSED,OTHERS-UNKNOWN ISSUE,,SOUTH_R,HORMOZGAN_P,2,"Aug 6, 2022 2:21 AM",Confirmed,0.11,576.85,Daily_Weekly
13095984,NF_10052022000015104,MINOR,HUAWEI,"GSMDB | MOBILE COUNTRY CODE =432, MOBILE NETWORK CODE =11",PDN_Connectivity_SR%_Per_PLMN,98.09,"IsLessThan 99 ",USN,10-May-2022 21:00:00,"May 10, 2022 11:15 PM",CTO_NAK_NOKIA_OPT,2769.42,INPROGRESS,,,NONE_R,NONE_P,132,"Sep 1, 2022 12:47 PM",VENDOR SUPPORT2,1.09,,Daily_Weekly
13101198,NF_11052022000023637,EMERGENCY,NOKIA,B5742N,TCH_Cong_Rate(Nokia_BSC),10.655,"IsGreaterThanOrEqual 10    ","BSC ",11-May-2022 18:00:00,"May 11, 2022 9:40 PM",NAK_BO_RANN,2747.01,ASSIGNED,,,SOUTH_R,KOHKILOOYE_P,9,"Aug 12, 2022 12:50 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13108543,NF_13052022000033881,MAJOR,HUAWEI,"ESMDA | NODENAME=USN, TAI GROUP NAME=43211EC66",ESM_failure_vs_Attach_Req_%,60.838,"IsGreaterThan 50    ",USN,12-May-2022 10:00:00,"May 13, 2022 9:53 AM",CTO_CORE_OPT_WG,2710.79,ASSIGNED,,,NONE_R,NONE_P,19,"Aug 27, 2022 3:42 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13109798,NF_13052022000035415,MAJOR,HUAWEI,"ESKZE | NODENAME=USN, TAI GROUP NAME=432117DFA",ESM_failure_vs_Attach_Req_%,57.991,"IsGreaterThan 50    ",USN,12-May-2022 15:00:00,"May 13, 2022 2:12 PM",CTO_CORE_OPT_WG,2706.47,ASSIGNED,,,NONE_R,NONE_P,16,"Aug 22, 2022 1:27 AM",INITIAL DIAGNOSIS,,,Daily_Weekly
13119973,NF_15052022000050725,MAJOR,NSN,R515N | KH2U0487,HS-DSCH_CREDIT_REDUCTIONS_DUE_TO_FRAME_LOSS(WBTS),310742,"IsGreaterThan 40000    ",NODEB,12-May-2022 00:00:00,"May 15, 2022 2:27 AM",CTO_NAK_NOKIA_TRANS,2669.53,CLOSED,TRANSMISSION - THIRD PARTY - HW FAULT,,NORTHEAST_R,KHORASNRAZAVI_P,3,"Aug 30, 2022 2:29 AM",Confirmed,1,666,Daily_Weekly
